"name","province","date","value"
"icu","MB",2020-02-08,0
"icu","MB",2020-02-09,0
"icu","MB",2020-02-10,0
"icu","MB",2020-02-11,0
"icu","MB",2020-02-12,0
"icu","MB",2020-02-13,0
"icu","MB",2020-02-14,0
"icu","MB",2020-02-15,0
"icu","MB",2020-02-16,0
"icu","MB",2020-02-17,0
"icu","MB",2020-02-18,0
"icu","MB",2020-02-19,0
"icu","MB",2020-02-20,0
"icu","MB",2020-02-21,0
"icu","MB",2020-02-22,0
"icu","MB",2020-02-23,0
"icu","MB",2020-02-24,0
"icu","MB",2020-02-25,0
"icu","MB",2020-02-26,0
"icu","MB",2020-02-27,0
"icu","MB",2020-02-28,0
"icu","MB",2020-02-29,0
"icu","MB",2020-03-01,0
"icu","MB",2020-03-02,0
"icu","MB",2020-03-03,0
"icu","MB",2020-03-04,0
"icu","MB",2020-03-05,0
"icu","MB",2020-03-06,0
"icu","MB",2020-03-07,0
"icu","MB",2020-03-08,0
"icu","MB",2020-03-09,0
"icu","MB",2020-03-10,0
"icu","MB",2020-03-11,0
"icu","MB",2020-03-12,0
"icu","MB",2020-03-13,0
"icu","MB",2020-03-14,0
"icu","MB",2020-03-15,0
"icu","MB",2020-03-16,0
"icu","MB",2020-03-17,0
"icu","MB",2020-03-18,0
"icu","MB",2020-03-19,0
"icu","MB",2020-03-20,0
"icu","MB",2020-03-21,0
"icu","MB",2020-03-22,0
"icu","MB",2020-03-23,0
"icu","MB",2020-03-24,0
"icu","MB",2020-03-25,0
"icu","MB",2020-03-26,0
"icu","MB",2020-03-27,0
"icu","MB",2020-03-28,0
"icu","MB",2020-03-29,0
"icu","MB",2020-03-30,1
"icu","MB",2020-03-31,2
"icu","MB",2020-04-01,3
"icu","MB",2020-04-02,4
"icu","MB",2020-04-03,6
"icu","MB",2020-04-04,6
"icu","MB",2020-04-05,7
"icu","MB",2020-04-06,7
"icu","MB",2020-04-07,6
"icu","MB",2020-04-08,6
"icu","MB",2020-04-09,5
"icu","MB",2020-04-10,5
"icu","MB",2020-04-11,5
